transaction_date,disclosure_date,ticker,asset_description,type,amount,senator,party,state,industry,sector
04/18/2023,05/17/2023,ESS,"Essex Property Trust, Inc. Common Stock",sale_full,"$1,001 - $15,000",Sheldon Whitehouse,Democrat,RI,Real Estate Investment Trusts,Consumer Services
04/18/2023,05/17/2023,ESS,"Essex Property Trust, Inc. Common Stock",sale_full,"$1,001 - $15,000",Sheldon Whitehouse,Democrat,RI,Real Estate Investment Trusts,Consumer Services
05/16/2023,05/16/2023,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Michael F. Bennet,,,,
04/04/2023,05/15/2023,UPS,"United Parcel Service, Inc. Common Stock",sale_full,"$1,001 - $15,000",Shelley Moore Capito,Republican,WV,Trucking Freight/Courier Services,Transportation
04/04/2023,05/15/2023,MCD,McDonald's Corporation Common Stock,sale_partial,"$1,001 - $15,000",Shelley Moore Capito,Republican,WV,Restaurants,Consumer Services
04/04/2023,05/15/2023,DUK,Duke Energy Corporation (Holding Company) Common S,sale_full,"$15,001 - $50,000",Shelley Moore Capito,Republican,WV,Power Generation,Public Utilities
04/28/2023,05/15/2023,TTD,"The Trade Desk, Inc. - Class A Common Stock",sale_full,"$15,001 - $50,000",John W. Hickenlooper,Democrat,CO,"Computer Software: Programming, Data Processing",Technology
04/28/2023,05/15/2023,PTON,"Peloton Interactive, Inc. - Common Stock",sale_full,"$1,001 - $15,000",John W. Hickenlooper,Democrat,CO,Recreational Products/Toys,Consumer Non-Durables
04/28/2023,05/15/2023,DIS,Walt Disney Company (The) Common Stock,sale_full,"$15,001 - $50,000",John W. Hickenlooper,Democrat,CO,Services-Misc. Amusement & Recreation,Consumer Services
04/28/2023,05/15/2023,CMCSA,Comcast Corporation - Class A Common Stock,sale_full,"$15,001 - $50,000",John W. Hickenlooper,Democrat,CO,Television Services,Consumer Services
04/28/2023,05/15/2023,CCCS,CCC Intelligent Solutions Holdings Inc. Common Sto,sale_full,"$15,001 - $50,000",John W. Hickenlooper,Democrat,CO,Computer Software: Prepackaged Software,Technology
04/28/2023,05/15/2023,AMZN,"Amazon.com, Inc. - Common Stock",sale_full,"$15,001 - $50,000",John W. Hickenlooper,Democrat,CO,Catalog/Specialty Distribution,Consumer Services
04/28/2023,05/15/2023,BABA,Alibaba Group Holding Limited American Depositary,sale_full,"$1,001 - $15,000",John W. Hickenlooper,Democrat,CO,Business Services,Miscellaneous
